YEAR,STATE,Population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 74 years,75 to 84 years,85 years and over,White,Black or African American,American Indian and Alaska Native,Asian and Pacific Islander and Other,Less than Bachelor's degree,Bachelor's degree,Graduate or professional degree
1980,Texas,14229191,6998723,7230468,1169061,1169889,1179988,787168,565187,288527,278789,853042,1302054,1124483,1603231,1361666,643396,227338,304211,847265,411874,112022,11303054,1704741,50812,134428,8453389,840992,627141
1980,Utah,1461037,724501,736536,189962,146187,125681,78275,60628,28716,31158,95802,135087,105688,142806,112866,52701,19502,26758,67820,32548,8852,1383997,9691,20103,20224,771511,82703,67319
1980,Vermont,511456,249080,262376,35998,37855,42650,28815,22472,10665,10512,27460,44845,42325,57394,47774,23502,8600,12423,33773,18386,6007,507052,1188,1068,1640,304728,35814,24909
1980,Virginia,5346818,2618310,2728508,360686,387524,431051,295073,210601,109646,108248,313074,477912,449952,662885,545907,267889,95514,125552,318296,145877,41131,4236345,1008665,10069,70569,3221826,358113,292920
1980,Washington,4132156,2052307,2079849,306123,296011,321995,215231,153792,79452,79060,242030,389997,354645,487214,392021,203986,75410,103627,263347,126739,41476,3790990,105604,63808,111607,2499069,257656,235838
1980,West Virginia,1949644,945408,1004236,145583,152802,157489,103762,70442,35408,35170,102110,160954,144649,207419,198112,105219,38408,54249,147298,71161,19409,1874618,65041,2357,5902,1258056,72199,59456
1980,Wisconsin,4705767,2305427,2400340,346940,344804,392247,273829,192783,95169,92035,262822,401915,348115,501973,452945,229046,83896,123051,330415,178145,55637,4446088,183169,30788,22043,2907843,258175,180312
1980,Wyoming,469557,240560,228997,44845,39297,37124,24287,18292,9804,9746,31118,49335,39400,52995,41605,18930,6578,9026,22867,10835,3473,446489,3270,8266,2044,276243,28207,19126
1990,Alabama,4040587,1936162,2104425,283295,293587,299413,182493,137933,67624,62666,175112,319562,328918,583587,419421,183677,71033,109277,301218,173264,48507,2975797,1020705,16506,27579,2556943,281466,142177
1990,Alaska,550043,289867,260176,54897,51736,43179,22532,14619,8315,8050,24863,53341,59624,103097,53929,16595,5689,7208,15548,5570,1251,415492,22451,85698,26402,301577,50797,25981
1990,Arizona,3665228,1810691,1854537,292859,281733,258364,148163,112759,59304,55863,164754,318048,316851,528708,349516,146658,59996,92878,290044,151013,37717,2963186,110524,203527,387991,2199310,325575,161560
1990,Arkansas,2350725,1133076,1217649,164667,175051,176097,105316,74306,35573,33349,93828,179036,180009,326703,243337,105811,41795,65789,195961,118881,35216,1944744,373912,12773,19296,1519275,143038,67144
1990,California,29760021,14897627,14862394,2397715,2223982,1977343,1151685,901463,509737,495714,1505343,2854057,2832314,4639321,2902569,1133907,443446,655873,1857221,979224,299107,20524327,2208801,242164,6784729,17444190,3052702,1523650
1990,Colorado,3294394,1631295,1663099,252893,253197,227289,127887,97075,51122,48916,138412,289598,322251,568087,336671,130193,49657,71703,194527,101963,32953,2905474,133146,27776,227998,1841323,402917,190168
1990,Connecticut,3287116,1592873,1694243,228356,209005,194372,117848,93732,51542,49900,150259,287691,296191,510996,356042,147022,59475,88778,256237,142677,46993,2859353,274269,6654,146840,1900133,393514,243686
1990,Delaware,666168,322968,343200,48824,46949,43055,24513,21793,11793,11056,31591,59286,59829,98866,68114,29861,11980,17923,49596,23997,7142,535094,112460,2019,16595,405278,64555,33328
1990,District Of Columbia,606900,282970,323930,37351,31997,29318,18426,22851,12440,11572,35695,63129,58147,95196,62031,25441,10409,15050,44553,25447,7847,179667,399604,1466,26163,340199,78581,71496
1990,Florida,12937926,6261719,6676207,849596,814118,748355,454168,345111,177644,169269,523633,1052106,1064138,1811156,1291611,588552,257504,421534,1369652,789669,210110,10749285,1759534,36335,392772,8372920,1133053,567453
1990,Georgia,6478216,3144503,3333713,495535,483952,466614,281202,215950,109209,103347,310078,589952,584944,1015698,668951,259735,96499,142280,388051,208975,57244,4600148,1746565,13348,118155,3920760,566481,260325
1990,Hawaii,1108229,563891,544338,83223,80907,73896,42100,30391,18158,18013,54623,100178,100518,178339,108775,45375,19275,29453,78653,35955,10397,369616,27195,5099,706319,659231,117888,50885
